Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2018:Q3,BabyBoom,56368110,61052209,12449677,2259048,14432165,10954647,5815776,5850277,9290619,4684099,3312562,991454,380083
2018:Q3,GenX,22213427,27952654,8141786,1549468,5440800,2818915,3275411,3234233,3492041,5739227,4187764,1409399,142064
2018:Q3,Millennial,3454613,6814950,2850032,818619,541741,379066,535782,504512,1185198,3360337,1963760,1333988,62589
2018:Q4,Silent,17869496,18733016,4461571,788189,4796940,2226775,528466,1694926,4236149,863520,578292,201287,83941
2018:Q4,BabyBoom,54294795,58953096,12230266,2270434,12785975,10949401,5365607,5770245,9581167,4658301,3265679,1002107,390515
2018:Q4,GenX,21798102,27589914,8148593,1583394,4903626,2914629,2985639,3384974,3669060,5791812,4217796,1421235,152781
2018:Q4,Millennial,3082922,6593513,2835084,829588,300210,405437,474621,515938,1232636,3510591,2059852,1382413,68326
2019:Q1,Silent,18247747,19082735,4336643,768618,5360363,2173315,545318,1642537,4255940,834988,560127,197410,77451
2019:Q1,BabyBoom,56522230,61112089,12122925,2272776,14327483,11073049,5633594,5772916,9909345,4589858,3209553,986683,393622
2019:Q1,GenX,23620976,29401052,8216444,1627256,5743147,3019289,3352597,3570562,3871756,5780076,4231285,1404475,144316
2019:Q1,Millennial,3500821,7112056,2937378,879282,487092,420192,554673,554267,1279172,3611234,2145972,1405901,59361
2019:Q2,Silent,18071359,18888125,4324341,753659,5342100,2099311,546725,1633057,4188932,816766,546738,198285,71743
2019:Q2,BabyBoom,57635358,62242295,12530040,2270798,14726988,11147584,5697339,5869174,10000372,4606937,3205629,995113,406195
2019:Q2,GenX,24908272,30740025,8583785,1659275,6095866,3139019,3529085,3795916,3937079,5831753,4272621,1410578,148554
2019:Q2,Millennial,3846838,7560753,3201102,902865,520247,457284,594079,625055,1260122,3713915,2205976,1448131,59808
2019:Q3,Silent,17524895,18321840,4168283,754375,5104080,2026373,541929,1570760,4156040,796945,533114,197630,66201
2019:Q3,BabyBoom,57775088,62373507,12528695,2282195,14672168,11210712,5672341,5844236,10163160,4598419,3184795,999483,414141
2019:Q3,GenX,25753719,31637857,8756365,1689175,6257827,3257733,3623071,3974739,4078947,5884138,4314866,1422864,146408
2019:Q3,Millennial,3804613,7652994,3221050,898978,488778,496048,615177,658331,1274632,3848381,2289202,1504172,55007
2019:Q4,Silent,17811393,18581445,4060146,754763,5557025,1960221,525235,1584673,4139382,770052,520455,189681,59916
2019:Q4,BabyBoom,59023669,63614700,12447000,2302310,15613352,11233626,5800843,5889301,10328268,4591031,3162461,1008617,419953
2019:Q4,GenX,26513023,32437861,8734300,1696509,6547514,3434919,3871418,3912628,4240574,5924839,4325829,1448689,150321
2019:Q4,Millennial,4297757,8285101,3286685,917761,725949,543173,706062,690874,1414597,3987344,2382576,1545204,59564
2020:Q1,Silent,16341061,17077212,4082379,751947,4083681,1879385,459494,1626332,4193994,736150,506269,174687,55194
2020:Q1,BabyBoom,55976506,60508122,12833309,2318011,12370747,11077035,5162891,6003224,10742905,4531615,3117728,976835,437052
2020:Q1,GenX,25168183,31084763,9012874,1702182,5030261,3599178,3387314,3879067,4473887,5916580,4322979,1425774,167827
2020:Q1,Millennial,4294004,8388916,3547077,937396,360366,608811,624309,747732,1563225,4094912,2486117,1535823,72972
2020:Q2,Silent,17337999,18045673,4064864,742454,5137763,1811736,460998,1647579,4180279,707675,493491,163649,50535
2020:Q2,BabyBoom,59234653,63706922,13048434,2318006,14685994,11035973,5619063,6072044,10927409,4472269,3077021,960347,434901
2020:Q2,GenX,27183683,33088261,9182226,1695981,5928750,3772501,3911905,3827678,4769220,5904578,4330085,1411926,162567
2020:Q2,Millennial,5313720,9511738,3738896,944174,794983,664118,779792,789742,1800032,4198018,2599971,1526544,71503
2020:Q3,Silent,17872692,18561789,4115387,755840,5664472,1743604,446199,1721664,4114624,689097,484168,154887,50042
2020:Q3,BabyBoom,61361259,65817460,13525727,2375298,15910287,10962228,5808474,6274397,10961049,4456201,3048878,959263,448060
2020:Q3,GenX,28479150,34441114,9529090,1735982,6360059,3943502,4181594,3831226,4859661,5961964,4370264,1431110,160590
2020:Q3,Millennial,6120692,10503026,4040591,1002513,1070232,723443,876109,880244,1909894,4382334,2748308,1562359,71667
2020:Q4,Silent,18962788,19632614,4154052,766770,6662503,1688161,446650,1787465,4127013,669825,471681,147568,50576
2020:Q4,BabyBoom,65175913,69558319,13945727,2427387,18312042,11003356,6128556,6462133,11279118,4382406,2953034,962195,467177
2020:Q4,GenX,30575713,36584249,9852746,1772120,7309880,4124275,4603358,3829234,5092636,6008536,4392098,1450294,166144
2020:Q4,Millennial,7088875,11722182,4305116,1055997,1516970,771810,1013242,967343,2091703,4633307,2966382,1588969,77956
2021:Q1,Silent,19551902,20199335,4257577,768346,7226642,1628420,433989,1843692,4040669,647433,460161,137485,49787
2021:Q1,BabyBoom,67524497,71833786,14586062,2466020,19761393,10966403,6165440,6629937,11258532,4309290,2882152,946795,480343
2021:Q1,GenX,32128520,38154638,10306646,1803954,7850173,4298859,4770898,3819426,5304683,6026118,4408270,1449857,167991
2021:Q1,Millennial,8116218,12937111,4720198,1116899,1830230,828445,1089412,1048624,2303303,4820893,3141822,1598353,80718
2021:Q2,Silent,20411079,21057550,4495400,794508,7822467,1573536,426345,1984107,3961187,646471,462740,136034,47697
2021:Q2,BabyBoom,70858858,75240468,15780677,2571085,21335175,10954511,6354738,7020268,11224014,4381610,2905196,989257,487157
2021:Q2,GenX,33977906,40243365,11121396,1889790,8449450,4475788,5058312,3900644,5347985,6265459,4569787,1527464,168208
2021:Q2,Millennial,9259501,14455533,5387512,1237578,2165854,882793,1194888,1215272,2371637,5196032,3414970,1697474,83588
2021:Q3,Silent,20633080,21270232,4610061,812563,7876245,1516024,402204,2124885,3928250,637152,460342,130108,46702
2021:Q3,BabyBoom,72158256,76610354,16456706,2649479,21596823,10877521,6285288,7419450,11325087,4452097,2956145,997871,498081
2021:Q3,GenX,34804189,41181653,11608435,1951294,8478339,4646890,5083751,3985508,5427436,6377464,4647702,1555873,173889
2021:Q3,Millennial,10131949,15474859,5813851,1323843,2308392,943962,1232316,1389005,2463489,5342910,3511542,1741241,90127
